Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Binghamton,11/05/19,62-89,-27,22-56/32-78,.393/.410,5-18/10-21,.278/.476,13-19/15-17,.684-.882,37/47 -10,11/19,20/8,2/0,3/6,19/18
Penn,11/09/19,44-92,-48,17-66/32-66,.258/.485,5-22/8-27,.227/.296,5-8/20-24,.625-.833,35/53 -18,11/22,20/13,2/3,6/11,22/14
Harvard,11/12/19,51-68,-17,18-61/26-64,.295/.406,7-26/10-28,.269/.357,8-11/6-11,.727-.545,38/46 -8,12/20,18/16,2/2,7/5,16/15
Sacred Heart,11/16/19,68-57,11,25-59/20-51,.424/.392,2-11/4-15,.182/.267,16-23/13-24,.696-.542,34/39 -5,11/9,16/27,6/3,11/5,22/19
FAU,11/19/19,39-83,-44,13-55/30-63,.236/.476,5-22/11-23,.227/.478,8-18/12-17,.444-.706,29/53 -24,6/19,25/26,1/2,10/10,21/21
Colgate,12/04/19,51-88,-37,16-57/34-66,.281/.515,1-15/5-12,.067/.417,18-23/15-19,.783-.789,27/49 -22,4/22,15/16,4/0,7/10,17/21
Albany (NY),12/07/19,52-46,6,19-62/18-48,.306/.375,1-15/4-11,.067/.364,13-15/6-10,.867-.600,39/35 4,4/11,16/22,4/1,15/3,14/15
Massachusetts,12/15/19,55-61,-6,23-59/20-51,.390/.392,4-13/4-18,.308/.222,5-8/17-24,.625-.708,34/34 0,12/11,17/16,1/6,8/12,20/9
Fairleigh Dickinson,12/19/19,58-67,-9,23-60/24-52,.383/.462,4-13/10-25,.308/.400,8-14/9-10,.571-.900,30/40 -10,6/18,13/22,1/1,16/7,18/13
Fairfield,01/02/20,35-65,-30,12-45/26-64,.267/.406,4-19/6-22,.211/.273,7-12/7-10,.583-.700,26/45 -19,7/19,18/10,5/2,6/8,15/10
Quinnipiac,01/04/20,52-66,-14,22-57/20-49,.386/.408,4-17/5-13,.235/.385,4-11/21-25,.364-.840,27/42 -15,9/9,15/21,8/1,13/10,23/16
Saint Peter's,01/06/20,83-87,-4,31-68/26-50,.456/.520,11-26/5-14,.423/.357,10-14/30-36,.714-.833,33/31 2,16/9,22/22,1/0,8/14,25/15
Niagara,01/09/20,61-68,-7,24-68/21-60,.353/.350,4-13/6-19,.308/.316,9-18/20-27,.500-.741,49/43 6,18/11,24/27,3/2,9/12,26/21
Canisius,01/11/20,68-63,5,23-52/23-52,.442/.442,13-26/5-16,.500/.313,9-15/12-16,.600-.750,35/28 7,17/13,24/20,4/3,4/12,17/14
Manhattan,01/16/20,50-80,-30,19-54/32-58,.352/.552,5-20/9-18,.250/.500,7-8/7-8,.875-.875,26/32 -6,9/18,20/14,2/6,8/10,14/16
Rider,01/18/20,66-70,-4,23-60/24-57,.383/.421,8-20/5-17,.400/.294,12-19/17-21,.632-.810,31/45 -14,11/13,11/16,0/4,7/7,20/19
Monmouth,01/23/20,51-39,12,21-59/16-67,.356/.239,6-19/1-21,.316/.048,3-6/6-9,.500-.667,41/45 -4,11/7,16/18,12/3,11/8,13/14
Niagara,01/30/20,59-54,5,21-56/20-62,.375/.323,6-19/7-22,.316/.318,11-15/7-13,.733-.538,37/44 -7,14/9,22/24,7/3,11/11,19/19
Canisius,02/01/20,72-43,29,28-60/15-64,.467/.234,8-25/3-20,.320/.150,8-13/10-12,.615-.833,37/46 -9,13/6,10/19,7/1,9/4,13/18
Manhattan,02/06/20,59-49,10,17-42/19-63,.405/.302,6-11/4-25,.545/.160,19-24/7-12,.792-.583,33/42 -9,13/11,23/22,4/3,12/15,14/21
Quinnipiac,02/08/20,68-60,8,26-58/22-67,.448/.328,6-16/6-23,.375/.261,10-15/10-17,.667-.588,40/43 -3,9/17,15/10,5/1,5/8,14/18
Rider,02/13/20,38-69,-31,16-46/26-58,.348/.448,1-9/7-16,.111/.438,5-9/10-18,.556-.556,33/31 2,2/18,28/12,1/4,5/12,21/10
Marist,02/16/20,55-78,-23,24-52/32-66,.462/.485,3-11/8-27,.273/.296,4-5/6-6,.800-1.000,21/39 -18,8/24,17/13,3/4,8/7,13/7
Iona,02/20/20,47-58,-11,15-41/21-50,.366/.420,0-8/11-27,.000/.407,17-30/5-10,.567-.500,26/35 -9,4/17,15/18,3/2,9/3,17/24
Saint Peter's,02/22/20,71-64,7,24-55/20-65,.436/.308,8-21/4-17,.381/.235,15-17/20-24,.882-.833,43/34 9,14/11,22/11,8/2,7/12,20/18
Monmouth,02/27/20,43-49,-6,15-49/19-53,.306/.358,4-14/4-20,.286/.200,9-15/7-15,.600-.467,34/41 -7,11/13,19/20,3/1,13/10,17/19
Iona,02/29/20,57-45,12,22-51/14-48,.431/.292,3-13/6-28,.231/.214,10-18/11-14,.556-.786,41/26 15,9/8,24/23,1/1,11/8,17/21
Fairfield,03/05/20,46-58,-12,14-51/22-56,.275/.393,5-17/2-16,.294/.125,13-22/12-17,.591-.706,34/45 -11,8/14,13/15,1/3,9/7,20/16
Marist,03/07/20,69-81,-12,26-60/29-57,.433/.509,5-16/9-23,.313/.391,12-19/14-18,.632-.778,37/29 8,7/24,17/15,2/5,8/8,19/14
Canisius,03/10/20,58-48,10,22-65/19-62,.338/.306,7-20/6-21,.350/.286,7-14/4-14,.500-.286,50/46 4,14/14,13/14,11/4,10/9,11/13
Fairfield,03/12/20,56-72,-16,20-55/23-53,.364/.434,10-26/9-18,.385/.500,6-10/17-24,.600-.708,27/40 -13,17/20,13/11,4/2,6/5,18/8
