Year,CO2,temperature variation from mean
2016,404.22,0.9363
2015,400.83,0.8998
2014,398.64,0.7408
2013,396.52,0.6679
2012,393.86,0.6240
2011,391.65,0.5788
2010,389.90,0.7014
2009,387.43,0.6367
2008,385.59,0.5419
2007,383.79,0.6100
2006,381.90,0.6125
2005,379.80,0.6585
2004,377.52,0.5783
2003,375.80,0.6134
2002,373.28,0.6023
2001,371.14,0.5473
2000,369.55,0.4262
1999,368.38,0.4438
1998,366.70,0.6344
1997,363.73,0.5187
1996,362.61,0.3228
1995,360.82,0.4577
1994,358.83,0.3409
1993,357.10,0.2853
1992,356.45,0.2571
1991,355.61,0.4055
1990,354.39,0.4328
1989,353.12,0.2970
1988,351.57,0.3757
1987,349.18,0.3696
1986,347.43,0.2296
1985,346.12,0.1342
1984,344.66,0.1490
1983,343.05,0.3411
1982,341.45,0.1815
1981,340.11,0.2999
1980,338.75,0.2637
1979,336.84,0.2273
1978,335.40,0.1123
1977,333.83,0.1978
1976,332.04,-0.0792
1975,331.12,0.0034
1974,330.18,-0.0719
1973,329.68,0.1641
1972,327.46,0.0264
1971,326.32,-0.0783
1970,325.68,0.0372
1969,324.62,0.0929
1968,323.05,-0.0296
1967,322.18,-0.0131
1966,321.37,-0.0227
1965,320.04,-0.0780
1964,319.62,-0.1495
1963,318.99,0.1068
1962,318.45,0.0888
1961,317.64,0.0775
1960,316.91,0.0204
1959,315.98,0.0596
